update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
496,-1.566163,410.742713,0.446277,0.907355,1.199
497,-2.731835,410.742713,0.390732,1.535451,0.930
498,-2.971110,410.742713,0.490845,0.945960,1.185
499,-2.971114,410.742713,0.598836,3.669349,0.963
500,-3.095698,410.742713,0.779828,1.323686,2.226
501,-3.289416,410.742713,0.898948,1.037297,0.840
502,-2.519394,410.742713,0.638064,1.448525,1.198
503,-2.514014,410.742713,0.817857,1.017705,0.994
504,-1.797823,410.742713,0.533534,0.833274,1.233
505,-3.433236,410.742713,0.311818,1.207185,0.940
506,-1.934367,410.742713,0.540717,0.859351,1.204
507,-3.394680,410.742713,0.587828,1.614135,0.954
508,-3.738411,410.742713,0.997673,1.699492,1.238
